ID транспорта,Номерной знак ТС,Полигон,Дата,Данные телематики, пробег,Данные путевого,Штрафы,Манера вождения,Итоговый рейтинг,Дата месяца прогноза,Итоговый рейтинг|Прогноз
1,Б/Н,ОКТЯБРЬСКАЯ ЖД,4/2/24,3,0,1,3.5,0.28,5/2/24,0.376594258
1,Б/Н,ОКТЯБРЬСКАЯ ЖД,4/8/24,5,5,1,3.5,0.88,5/8/24,0.84748395
1,Б/Н,ОКТЯБРЬСКАЯ ЖД,4/9/24,7,7,0,3.5,0.88,5/9/24,0.84748395
1,Б/Н,ОКТЯБРЬСКАЯ ЖД,4/10/24,12,12,2,3.5,0.88,5/10/24,0.84748395
1,Б/Н,ОКТЯБРЬСКАЯ ЖД,4/17/24,5,5,0,3.5,0.88,5/17/24,0.84748395
1,Б/Н,ОКТЯБРЬСКАЯ ЖД,4/18/24,27,27,3,3.5,0.88,5/18/24,0.84748395
1,Б/Н,ОКТЯБРЬСКАЯ ЖД,4/19/24,21,21,2,3.5,0.88,5/19/24,0.84748395
1,Б/Н,ОКТЯБРЬСКАЯ ЖД,4/20/24,10,10,3,3.5,0.88,5/20/24,0.84748395
1,Б/Н,ОКТЯБРЬСКАЯ ЖД,4/25/24,13,13,1,3.5,0.88,5/25/24,0.84748395
1,Б/Н,ОКТЯБРЬСКАЯ ЖД,4/26/24,27,37,3,3.5,0.7,5/26/24,0.84748395
1,Б/Н,ОКТЯБРЬСКАЯ ЖД,4/27/24,10.26,12,1,3.5,0.76,5/27/24,0.84748395
2,0600РХ70,ОКТЯБРЬСКАЯ ЖД,4/4/24,9.08,0,0,2.6,0.28,5/4/24,0.355416298
2,0600РХ70,ОКТЯБРЬСКАЯ ЖД,4/10/24,43.2,50.2,2,2.6,0.76,5/10/24,0.84748395
2,0600РХ70,ОКТЯБРЬСКАЯ ЖД,4/11/24,48.2,50.2,4,2.6,0.88,5/11/24,0.84748395
2,0600РХ70,ОКТЯБРЬСКАЯ ЖД,4/18/24,2.2,2.2,0,2.6,0.88,5/18/24,0.847435122
2,0600РХ70,ОКТЯБРЬСКАЯ ЖД,4/25/24,1,1,0,2.6,0.88,5/25/24,0.824548273
2,0600РХ70,ОКТЯБРЬСКАЯ ЖД,4/28/24,12.4,12.4,1,2.6,0.88,5/28/24,0.84748395
4,0003ТВ69,ОКТЯБРЬСКАЯ ЖД,4/3/24,2,2,0,5.7,1,5/3/24,0.847334692
4,0003ТВ69,ОКТЯБРЬСКАЯ ЖД,4/9/24,30.2,30.2,2,5.7,1,5/9/24,0.84748395
4,0003ТВ69,ОКТЯБРЬСКАЯ ЖД,4/10/24,10.12,0,1,5.7,0.4,5/10/24,0.353192969
4,0003ТВ69,ОКТЯБРЬСКАЯ ЖД,4/13/24,40.2,40.2,4,5.7,1,5/13/24,0.84748395
4,0003ТВ69,ОКТЯБРЬСКАЯ ЖД,4/21/24,3.2,3.2,0,5.7,1,5/21/24,0.847483646
4,0003ТВ69,ОКТЯБРЬСКАЯ ЖД,4/23/24,10.6,0,2,5.7,0.4,5/23/24,0.352728126
4,0003ТВ69,ОКТЯБРЬСКАЯ ЖД,4/25/24,2,2,0,5.7,1,5/25/24,0.847334547
4,0003ТВ69,ОКТЯБРЬСКАЯ ЖД,4/28/24,12.6,12.6,1,5.7,1,5/28/24,0.84748395
4,0003ТВ69,ОКТЯБРЬСКАЯ ЖД,4/30/24,29.2,0,3,5.7,0.4,5/30/24,0.345615646
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/1/24,20,20,0,5.6,1,5/1/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/8/24,35,37,0,5.6,0.94,5/8/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/11/24,33,33,1,5.6,1,5/11/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/12/24,36,36,0,5.6,1,5/12/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/13/24,13,13,0,5.6,1,5/13/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/16/24,31,31,0,5.6,1,5/16/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/17/24,15,15,0,5.6,1,5/17/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/18/24,55,55,0,5.6,1,5/18/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/21/24,66,66,1,5.6,1,5/21/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/24/24,69,71,0,5.6,1,5/24/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/25/24,92.16,92,0,5.6,1,5/25/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/26/24,121,131,1,5.6,0.94,5/26/24,0.84748395
5,М015НН197,ОКТЯБРЬСКАЯ ЖД,4/27/24,3.83,0,0,5.6,0.4,5/27/24,0.367583481
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/1/24,15,15,0,5.2,0.96,5/1/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/2/24,6,6,0,5.2,0.96,5/2/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/3/24,21,21,2,5.2,0.96,5/3/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/4/24,9,9,0,5.2,0.96,5/4/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/5/24,12,12,0,5.2,0.96,5/5/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/7/24,22,22,1,5.2,0.96,5/7/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/8/24,8,8,0,5.2,0.96,5/8/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/10/24,55,55,3,5.2,0.96,5/10/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/12/24,13,13,0,5.2,0.96,5/12/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/13/24,3.18,0,0,5.2,0.36,5/13/24,0.371305132
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/15/24,2,2,0,5.2,0.96,5/15/24,0.847323726
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/16/24,6,6,0,5.2,0.96,5/16/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/17/24,13,13,0,5.2,0.96,5/17/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/19/24,23,23,2,5.2,0.96,5/19/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/20/24,2,2,0,5.2,0.96,5/20/24,0.847323691
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/24/24,17,17,0,5.2,0.96,5/24/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/25/24,1,1,0,5.2,0.96,5/25/24,0.820885758
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/26/24,32.1,31,0,5.2,0.96,5/26/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/27/24,17,17,1,5.2,0.96,5/27/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/28/24,13.5,13.5,0,5.2,0.96,5/28/24,0.84748395
7,5009СА70,ОКТЯБРЬСКАЯ ЖД,4/29/24,14.5,16.5,0,5.2,0.84,5/29/24,0.84748395
8,5000СА70,ОКТЯБРЬСКАЯ ЖД,4/2/24,14,4,0,4.5,0.7,5/2/24,0.847483912
8,5000СА70,ОКТЯБРЬСКАЯ ЖД,4/10/24,11,0,1,4.5,0.28,5/10/24,0.35122991
8,5000СА70,ОКТЯБРЬСКАЯ ЖД,4/16/24,3.36,3,0,4.5,0.76,5/16/24,0.847482913
8,5000СА70,ОКТЯБРЬСКАЯ ЖД,4/29/24,177,177,0,4.5,0.88,5/29/24,0.84748395
9,9535РХ70,ОКТЯБРЬСКАЯ ЖД,4/5/24,4,4,0,5.9,1,5/5/24,0.847483945
9,9535РХ70,ОКТЯБРЬСКАЯ ЖД,4/7/24,0,0,0,5.9,0.4,5/7/24,0.393299431
9,9535РХ70,ОКТЯБРЬСКАЯ ЖД,4/10/24,1,1,0,5.9,1,5/10/24,0.822065357
9,9535РХ70,ОКТЯБРЬСКАЯ ЖД,4/14/24,7,7,0,5.9,1,5/14/24,0.84748395
9,9535РХ70,ОКТЯБРЬСКАЯ ЖД,4/15/24,2,2,0,5.9,1,5/15/24,0.847331101
9,9535РХ70,ОКТЯБРЬСКАЯ ЖД,4/21/24,0.02,0,0,5.9,0.4,5/21/24,0.393105356
11,0070РХ70,ОКТЯБРЬСКАЯ ЖД,4/4/24,23.56,23.56,3,5.8,1,5/4/24,0.84748395
